Time	Trial 1	Trial 2	Trial 3	Trial 4	Trial 5	Trial 6	Trial 7	Trial 8	Trial 9	Trial 10	MEAN	SD
5	3	4	3	2	3	3	4	2	4	3	3.1	0.737864787
10	9	10	9	7	8	8	10	7	10	8	8.6	1.173787791
15	13	15	13	10	11	12	14	10	13	11	12.2	1.686548085
20	15	17		12	12	13	16	12	14	13	13.77777778	1.855921454
25		22	19	15	16	17	21	15	16	16	17.44444444	2.603416559
30	23	25	22	17	19	19	26	17	19	18	20.5	3.274480451
35	25	31	27	21	22	23	30	21	23	24	24.7	3.560586718
40	30	35	30	25	26	29	34	25	27	27	28.8	3.521363372
45	32	36	35	29	29	32	37	29	30	30	31.9	3.0713732
50	36	36	36	33	32	35	38	33	34	32	34.5	2.013840996
55	39	38	38	36	36	37	39	36	38	34	37.1	1.595131482
60	40	39	39	40	39	38	40	40	39	38	39.2	0.788810638
												
												
												
												
Time	Trial 1	Trial 2	Trial 3	Trial 4	Trial 5	Trial 6	Trial 7	Trial 8	Trial 9	Trial 10	MEAN	SD
0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
10	2	2	2	2	2	2	2	2	2	2	2	0
15	3	3	3	3	3	3	3	3	3	3	3	0
20	4	4	4	4	4	4	4	3	4	4	3.9	0.316227766
25	5	5	5	5	5	5	5	4	5	5	4.9	0.316227766
30	6	6	6	6	6	6	6	5	6	6	5.9	0.316227766
35	7	8	8	8	8	8	8	7	8	8	7.8	0.421637021
40	7	8	9	9	8	8	9	7	8	8	8.1	0.737864787
45	8	10	10	10	10	10	10	9	10	10	9.7	0.674948558
50	10	11	11	11	11	11	11	10	11	11	10.8	0.421637021
55	10	12	13	13	12	12	13	12	12	12	12.1	0.875595036
60	12	13	14	14	13	14	14	13	13	14	13.4	0.699205899
												
												
												
												
												
												
												
												
												
										5		
										10		
										15		
										20		
										25		
										30		
										35		
										40		
										50		
										55		
										60		
												
										5		
										15		
										20		
										25		
										30		
										35		
										40		
										45		
										50		
										55		
										60		
