Time	Trial 1	Trial 2	Trial 3	Trial 4	Trial 5	Trial 6	Trial 7	Trial 8	Trial 9	Trial 10	Mean	SD						
0	0	0	0	0	0	0	0	0	0	0	0	0						
2	0	0	0	0	0	0	0	0	0	0	0	0						
4	0	0	0	0	0	0	0	0	0	0	0	0						
6	0	0	1	0	1	0	1	0	1	1	0.5	0.527046277						
8	1	1	1	1	1	1	1	1	1	1	1	0						
10	2	2	2	2	2	2	2	2	2	2	2	0						
12	2	2	2	2	2	2	2	2	2	2	2	0						
14	3	2	3	2	2	2	2	2	2	3	2.3	0.483045892						
16	3	3	3	3	3	3	2	3	3	3	2.9	0.316227766						
18	4	3	4	3	3	3	3	3	3	4	3.3	0.483045892						
20	4	4	4	4	4	4	3	4	4	4	3.9	0.316227766						
22	4	4	4	4	4	4	4	4	4	4	4	0						
24	5	5	5	5	5	5	4	5	5	5	4.9	0.316227766						
26	5	5	5	5	5	5	5	5	5	5	5	0						
28	6	6	6	6	6	6	5	6	6	6	5.9	0.316227766						
30	6	6	6	6	6	6	6	6	6	6	6	0						
32	7	7	7	7	7	7	6	7	7	7	6.9	0.316227766						
34	7	8	7	8	7	8	6	8	7	7	7.3	0.674948558						
36	8	8	8	8	7	8	7	8	7	8	7.7	0.483045892						
38	8	8	8	8	7	8	7	8	7	8	7.7	0.483045892						
40	8	9	8	9	7	9	8	9	7	8	8.2	0.788810638						
42	9	9	9	9	8	9	8	9	8	9	8.7	0.483045892						
44	9	9	9	9	8	10	9	9	8	9	8.9	0.567646212						
46	10	10	10	10	9	10	9	10	9	10	9.7	0.483045892						
48	10	10	10	10	9	11	10	10	9	10	9.9	0.567646212						
50	11	11	11	11	10	11	10	11	10	11	10.7	0.483045892						
52	12	12	12	12	10	12	11	12	10	12	11.5	0.849836586						
54	12	12	12	12	11	12	11	12	11	12	11.7	0.483045892						
56	12	12	12	12	11	12	12	12	11	12	11.8	0.421637021						
58	13	13	13	13	12	13	12	13	12	13	12.7	0.483045892						
60	13	14	13	14	12	14	13	14	12	13	13.2	0.788810638						
																		
																		
																		
Time 	Trial 1	Trial 2	Trial 3	Trial 4	Trial 5	Trial 6	Trial 7	Trial 8	Trial 9	Trial 10	Mean	SD						
0	0	0	0	0	0	0	0	0	0	0	0	0						
2	0	0	0		0	0	0	0	0	0	0	0						
4	0	1	1	1	1	1	1	1	1	1	0.9	0.316227766						
6	4	3	4		3	5	4	3	3	4	3.666666667	0.707106781						
8	5	5	6	6	5	6	6	5	5	6	5.5	0.527046277						
10	9	9	10	10	8	10	10	9	9	10	9.4	0.699205899						
12	10	10	11	12	9	12	12	10	10	12	10.8	1.135292424						
14	12	13	12	14	12	12	13	11	10	13	12.2	1.135292424						
16	13	14	13	15	13	14	13	12	12	13	13.2	0.918936583						
18	14	14	13	16	15	16	14	13	13	14	14.2	1.135292424						
20	15	16	13	17	15	18	15	13	14	15	15.1	1.595131482						
22	19	17	15	20	17	19	15	15	15	15	16.7	2.002775851						
24	20	19	16	22	19	22	16	16	16	16	18.2	2.529822128						
26	21	21	18	22	21	23	16	17	19	17	19.5	2.415229458						
28	23	23	20	24	22	25	17	18	19	17	20.8	2.97396107						
30	24	23	21	24	23	26	18	20	20	18	21.7	2.71006355						
32	25	25	22	28	26	28	20	21	22	20	23.7	3.093002856						
34	27	27	24	29	27	29	22	23	24	22	25.4	2.716206505						
36	28	28	24	31	29	29	24	23	27	24	26.7	2.750757471						
38	29	30	27	32	30	31	25	24	27	25	28	2.788866755						
40	30	30	29	33	32	33	26	25	29	26	29.3	2.907843798						
42	32	33	32	34	34	34	27	25	31	27	30.9	3.348299734						
44	33	34	32	35	36	36	29	27	31	29	32.2	3.155242551						
46	35	35	33	36	38	36	31	29	33	31	33.7	2.790858092						
48	35	36	35	37	38	37	32	31	34	32	34.7	2.406010991						
50	36	37	36	37	38	37	34	33	35	34	35.7	1.636391694						
52	28	38		38	38	37	35	36	36	35	35.66666667	3.122498999						
54	39	38	38	39	39	38	36	38	38	36	37.9	1.100504935						
56	39	39	40	39	39	39	38	39	38	38	38.8	0.632455532						
58	40	40	40	39	40	39	38	39	39	38	39.2	0.788810638						
60	40	40	40	39	40	39	38	39	39	38	39.2	0.788810638						
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																	2	0
																	4	0
																	6	0
																	8	1
																	10	2
																	12	2
																	14	3
																	16	3
																	18	4
																	22	4
																	24	5
																	26	5
																	28	6
																	30	6
																	32	7
																	34	7
																	36	8
																	38	8
																	40	8
																	42	8
																	44	9
																	46	9
																	48	10
																	50	10
																	52	11
																	54	12
																	56	12
																	58	12
																	60	13
																	2	0
																	4	0
																	8	1
																	10	2
																	12	2
																	14	3
																	16	3
																	18	4
																	20	4
																	22	4
																	24	5
																	26	5
																	28	6
																	30	6
																	32	7
																	34	7
																	36	8
																	38	8
																	40	8
																	42	9
																	44	9
																	46	10
																	48	10
																	50	11
																	52	11
																	54	12
																	56	12
																	58	13
																	60	13
																	2	0
																	4	0
																	6	1
																	8	1
																	10	2
																	12	2
																	14	2
																	16	3
																	18	3
																	20	4
																	22	4
																	24	5
																	26	5
																	28	6
																	30	6
																	32	7
																	34	8
																	36	8
																	38	8
																	40	9
																	42	9
																	44	10
																	46	10
																	48	11
																	50	11
																	52	12
																	54	12
																	56	12
																	58	12
																	60	13
